Date : 2023-06-27 01:17:24
Directory : /home/blackflage10/Desktop/c/minecraft/src
Total : 300 files,  -38885 codes, -13528 comments, -9527 blanks, all -61940 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/vec2.c                                  | C                |       -192 |         -6 |        -40 |       -238 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/vec3.c                                  | C                |       -342 |         -7 |        -71 |       -420 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/src/vec4.c                                  | C                |       -312 |         -7 |        -65 |       -384 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/CMakeLists.txt                         | CMake            |        -37 |         -1 |        -11 |        -49 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/include/common.h                       | C++              |       -125 |         -7 |        -28 |       -160 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/runner.c                               | C                |        -73 |         -6 |        -22 |       -101 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_affine.h                      | C++              |       -454 |        -13 |       -168 |       -635 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_affine2d.h                    | C++              |       -218 |         -6 |        -87 |       -311 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_affine_mat.h                  | C++              |        -74 |        -15 |        -24 |       -113 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_bezier.c                      | C                |        -44 |         -8 |        -15 |        -67 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_cam.h                         | C++              |        -78 |         -9 |        -29 |       -116 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_cam_lh_no.h                   | C++              |        -23 |         -9 |         -7 |        -39 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_cam_lh_zo.h                   | C++              |        -23 |         -9 |         -7 |        -39 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_cam_rh_no.h                   | C++              |        -23 |         -9 |         -7 |        -39 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_cam_rh_zo.h                   | C++              |        -23 |         -9 |         -7 |        -39 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_clamp.c                       | C                |        -18 |         -6 |         -8 |        -32 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_common.c                      | C                |       -260 |         -9 |        -73 |       -342 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_common.h                      | C++              |        -79 |         -6 |        -38 |       -123 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_euler.c                       | C                |        -21 |        -12 |        -13 |        -46 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_ivec2.h                       | C++              |       -146 |         -6 |        -53 |       -205 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_ivec3.h                       | C++              |       -159 |         -6 |        -52 |       -217 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_ivec4.h                       | C++              |       -176 |         -6 |        -52 |       -234 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_mat2.h                        | C++              |       -207 |        -11 |        -85 |       -303 |
| /home/blackflage10/Desktop/c/minecraft/vendor/cglm/test/src/test_mat3.h                        | C++              |       -228 |        -11 |        -91 |       -330 |
